=========================================================
start training monodepth
epoch 0, loss 0.09175448625557092
epoch 1, loss 0.08584131159090282
epoch 2, loss 0.08380121854632115
epoch 3, loss 0.0825234435806941
epoch 4, loss 0.08190238251538147
epoch 5, loss 0.08102772734559721
epoch 6, loss 0.08022980879827504
epoch 7, loss 0.07967635352541819
epoch 8, loss 0.07953869890469457
epoch 9, loss 0.07899835193994723
epoch 10, loss 0.07839570397487211
epoch 11, loss 0.07819053930856192
epoch 12, loss 0.07780963152689532
epoch 13, loss 0.07748385558114752
epoch 14, loss 0.07475447984739139
epoch 15, loss 0.07397191563405936
epoch 16, loss 0.07364134434690318
epoch 17, loss 0.07342601884767605
epoch 18, loss 0.07320960565933828
epoch 19, loss 0.07305336113854413
epoch 20, loss 0.07295560660890267
epoch 21, loss 0.07281101763928668
epoch 22, loss 0.07271246130600806
epoch 23, loss 0.07261582325809182
epoch 24, loss 0.07254325978447299
epoch 25, loss 0.07244094563767675
epoch 26, loss 0.072339628061835
epoch 27, loss 0.07226980698112924
epoch 28, loss 0.07218100019490158
epoch 29, loss 0.07192969637871129
epoch 30, loss 0.07188742612614782
epoch 31, loss 0.07186959261412117
epoch 32, loss 0.07186729959431457
epoch 33, loss 0.07184810762674934
epoch 34, loss 0.0718052201717029
